caught,med_alarms,sd_c,seed
35,15,0,NA
33,15,1,1
33,15,1,2
34,16,1,3
35,15,1,4
34,14,1,5
34,13,1,6
34,15,1,7
34,17,1,8
35,16,1,9
35,15,1,10
34,15,1,11
34,17,1,12
34,16,1,13
35,15,1,14
32,14,1,15
34,16,1,16
35,16,1,17
35,16,1,18
34,16,1,19
34,14,1,20
33,16,1.5,1
33,14,1.5,2
31,15,1.5,3
32,14,1.5,4
34,14,1.5,5
34,13,1.5,6
33,15,1.5,7
34,17,1.5,8
35,15,1.5,9
34,15,1.5,10
34,16,1.5,11
34,17,1.5,12
34,15,1.5,13
35,15,1.5,14
32,14,1.5,15
34,15,1.5,16
34,18,1.5,17
35,15,1.5,18
33,16,1.5,19
33,15,1.5,20
32,16,2,1
33,15,2,2
30,16,2,3
31,15,2,4
33,14,2,5
33,15,2,6
33,16,2,7
34,16,2,8
35,15,2,9
34,15,2,10
33,15,2,11
33,16,2,12
34,16,2,13
34,15,2,14
31,12,2,15
34,15,2,16
34,17,2,17
34,15,2,18
33,17,2,19
33,16,2,20
